signal,h,ic,sigma_r,e_abs_z,gross_bps,c_star_bps
timeseries_momentum,30,0.0087727047692361,0.005658065784630296,0.9973286048816937,0.4963654069347779,0.24884747339301388
zscore_reversion,130,-0.008154057409647,0.010711772550052677,0.8672862470142378,0.8734440833221037,0.5035500599306544
vol_breakout,130,0.0089292131448948,0.010711772550052677,0.9999786055536456,0.9564770025905365,0.47824873316213395
zscore_momentum,130,0.0123757607235953,0.010711772550052677,0.8676243028365398,1.3256633400502817,0.7639616223959302
